
CAESAR II 2019  Ver.11.00.00.4800,  (Build 190424)   Date: SEP 18, 2026   Time: 8:23
Job Name: P2603-PR-SIM-018
Licensed To: Licensed To: Edit name in <system>\company.txt
DISPLACEMENTS REPORT: Nodal Movements
CASE 1 (OPE) W+T1+P2

 
 

 Node	    DX mm.	    DY mm.	    DZ mm.	   RX deg.	   RY deg.	   RZ deg.
 1258	    -3.497	    -0.787	    -0.322	   -0.0199	   -0.0049	    0.0353
 1259	    -3.532	    -0.903	    -0.324	   -0.0181	   -0.0023	    0.0405
 1260	    -3.548	    -0.899	    -0.297	   -0.0192	    0.0001	    0.0405
 1270	    -3.498	    -0.000	     0.091	   -0.0033	    0.0018	    0.0397
 1278	    -3.482	    -0.022	     0.154	    0.0048	    0.0020	    0.0395
 1279	    -3.410	    -0.089	     0.157	    0.0182	    0.0031	    0.0398
 1280	    -3.256	    -0.146	     0.110	    0.0112	    0.0032	    0.0396
 1288	    -0.732	    -0.659	    -0.258	    0.0003	    0.0053	    0.0382
 1289	    -0.578	    -0.641	    -0.239	   -0.0077	    0.0033	    0.0369
 1290	    -0.494	    -0.533	    -0.210	   -0.0079	    0.0021	    0.0347
 1300	    -0.345	    -0.000	    -0.130	   -0.0003	    0.0026	    0.0219
 1308	    -0.058	     0.076	    -0.000	    0.0073	    0.0034	    0.0050
 1309	    -0.020	     0.061	     0.003	    0.0050	    0.0020	    0.0048
 1310	    -0.000	     0.032	     0.000	    0.0002	   -0.0001	    0.0002
 1320	    -0.000	     0.014	     0.000	    0.0000	   -0.0000	    0.0000
 1330	    -0.000	    -0.000	    -0.000	    0.0000	   -0.0000	    0.0000
 1340	     0.016	     0.082	     0.018	   -0.0080	    0.0002	    0.0073
 1350	     0.024	     0.097	     0.026	   -0.0080	    0.0002	    0.0073
 1359	     0.041	     0.118	     0.045	   -0.0095	   -0.0008	    0.0070
 1360	     0.047	     0.110	     0.061	   -0.0012	   -0.0015	   -0.0053
 1368	    -0.089	    -0.047	     0.024	    0.0031	    0.0009	   -0.0017
 1369	    -0.067	    -0.052	     0.017	    0.0031	    0.0012	    0.0171
 1370	    -0.036	    -0.019	     0.012	    0.0031	    0.0019	    0.0163
 1380	    -0.028	    -0.000	     0.010	    0.0030	    0.0019	    0.0150
 1388	    -0.019	     0.014	     0.008	    0.0029	    0.0019	    0.0136
 1389	    -0.003	     0.017	     0.003	    0.0022	    0.0009	   -0.0006
 1390	     0.000	     0.000	     0.000	    0.0000	    0.0000	   -0.0000
 1400	     0.000	    -0.000	     0.000	    0.0000	    0.0000	   -0.0000
 1410	    -0.010	     0.045	    -0.034	   -0.0015	    0.0008	    0.0018
 1420	    -0.011	     0.043	    -0.046	   -0.0015	    0.0008	    0.0018
 1428	    -0.012	     0.039	    -0.061	   -0.0024	    0.0008	    0.0018
 1429	    -0.013	     0.039	    -0.063	   -0.0024	    0.0008	    0.0018
 1430	    -0.013	     0.040	    -0.065	   -0.0024	    0.0008	    0.0018
 1440	    -0.017	     0.054	    -0.069	   -0.0024	    0.0008	    0.0018
 1450	    -0.018	     0.059	    -0.070	   -0.0024	    0.0008	    0.0018
 1460	    -0.048	     0.075	     0.007	    0.0007	    0.0044	    0.0045
 1470	    -0.058	     0.069	     0.013	    0.0007	    0.0045	    0.0045
 1480	    -0.071	     0.061	     0.021	    0.0012	    0.0053	    0.0047
 1490	    -0.182	    -0.000	     0.104	    0.0054	    0.0036	    0.0043
 1498	    -0.189	    -0.004	     0.107	    0.0056	    0.0030	    0.0045
 1499	    -0.198	    -0.008	     0.100	    0.0059	   -0.0068	    0.0058
